START JOB HllUpdateSpeedProfile
Date Time: 2025/02/13 19:12:31 PST
InU	Trials	nS/Set
4380002	16	3.966206450933127
4573921	16	3.9560161292685203
4776426	16	3.945163980871891
4987896	16	3.9501119184321403
5208729	16	3.953943622810862
5439339	16	3.9272800196862154
5680159	16	3.931273820856071
5931642	16	3.9257350135932008
6194258	16	3.9257787615562663
6468501	16	3.926950676053076
6754886	16	3.9382380305900058
7053950	16	3.9142549032811402
7366255	16	3.9177673644884683
7692387	16	3.909948685304055
8032959	16	3.9156787757163953
8388608	16	3.8989434614777565

PROPERTIES:
FileNameDateFormat=yyyyMMdd'_'HHmmssz
HLL_compact=true
HLL_offheap=false
HLL_tgtHllType=HLL8
HLL_useComposite=false
HLL_wrap=false
JobProfile=org.apache.datasketches.characterization.hll.HllUpdateSpeedProfile
LgK=12
OutputFileName=java17/BaseUpdateSpeedProfileHLL8.txt
OutputFileNameData=java17/BaseUpdateSpeedProfileHLL8.tsv
ReadableDateFormat=yyyy/MM/dd HH:mm:ss z
TimeZone=PST
TimeZoneOffset=-28800000
Trials_lgMaxBpU=20
Trials_lgMaxT=24
Trials_lgMaxU=23
Trials_lgMinBpU=4
Trials_lgMinT=4
Trials_lgMinU=0
Trials_UPPO=16

Total Job Time: 0:06:23.055
END JOB HllUpdateSpeedProfile


